MMS Id,Linked to NZ,Title,ISBN,ISSN,Linked to CZ
990005336680205516,No,: exercices avec solutions mathématiques spéciales premier cycle universitaire,2711721515; 9782711721511,,No
990005336850205516,No,,,,No
990005337340205516,No,Entrées-sorties,2225818339; 9782225818332,,No
990005339930205516,No,,0471160423; 9780471160427,,No
990005339960205516,No,,047107943X; 9780471079439,,No
990005340000205516,No,,0471092584; 9780471092582,,No
990005346340205516,No,: applications and continuation of the general theory,0486601579; 9780486601571,,No
990005346470205516,No,: problems in the elementary theory of functions,0486601587; 9780486601588,,No
990005346480205516,No,: problems in the advanced theory of functions,0486601595; 9780486601595,,No
990005347190205516,No,: première année,,,No
990005347220205516,No,: deuxième année,,,No
990005349800205516,No,": fonctions, calcul intégral",,,No
990005350290205516,No,: exercices avec solutions et rappels de cours pour les classes préparatoires et le premier cycle universitaire,2711721574; 9782711721573,,No
990005351350205516,No,"tiempos primitivos, hasta el siglo XIII",,,No
990005351540205516,No,"los precursores del renacimiento, siglos XIII, XIV Y XV",,,No
990005351600205516,No,"Arabes y Judíos primera parte, siglos VIII-XI",,,No
990005351660205516,No,"Arabes y Judíos segunda parte, siglos XII-XVI",,,No
990005352180205516,No,,,,No
990005352320205516,No,,,,No
990005352350205516,No,,,,No
990005352360205516,No,,,,No
990005352380205516,No,,,,No
990005352390205516,No,,,,No
990005356150205516,No,,0198538073; 9780198538073,,No
990005359090205516,No,,,,No
990005359810205516,No,,0121938603; 9780121938604,,No
990005359840205516,No,,012153412X; 9780121534127,,No
990005359850205516,No,,0121534138; 9780121534134,,No
990005360800205516,No,,,,No
990005364010205516,No,: fundamentals,0201510081; 9780201510089,,No
990005365800205516,No,: à l'usage des étudiants de la classe de Mathématiques Supérieures et du premier cycle universitaire,2711741001; 9782711741007,,No
990005365810205516,No,: à l'usage des étudiants des classes de Mathématiques spéciales MM' et PP' et du premier cycle universitaire,2711741044; 9782711741045,,No
990005367680205516,No,": Seconde A, C et T",2711733580; 9782711733583,,No
990005367760205516,No,: chapitres XII à XV,,,No
990005368070205516,No,: chapitres XVI et XVII,,,No
990005368150205516,No,chapitre XXI,2040009329; 9782040009328,,No
990005368180205516,No,chapitre XXII,2040011277; 9782040011277,,No
990005368310205516,No,chapitre XXIV,2040114998; 9782040114992,,No
990005370650205516,No,": thermodynamique, optique",2731061049; 9782731061048,,No
990005374670205516,No,,2711722090; 9782711722099,,No
990005376560205516,No,Classe de mathématiques spéciales,2711741826; 9782711741823,,No
990005377920205516,No,": lois de force, statique et dynamique de solides, usage de repères non galiléens, éléments de mécanique analytique",,,No
990005383540205516,No,: à l'usage des étudiants de la classe de Mathématiques supérieures et du premier cycle universitaire,2711741028; 9782711741021,,No
990005383560205516,No,: à l'usage des étudiants des classes de Mathématiques spéciales MM' et PP' et du premier cycle universitaire,2711741079; 9782711741076,,No
990005386410205516,No,,2710900211; 9782710900214,,No
990005386670205516,No,,,,No
990005386870205516,No,: à l'usage des étudiants de la classe de Mathématiques supérieures et du premier cycle universitaire,271174146X; 9782711741465,,No
990005387370205516,No,,,,No
990005389280205516,No,,,,No
990005389380205516,No,,,,No
990005391180205516,No,": mathématiques spéciales MM' et PP', premier cycle universitaire",2711741486; 9782711741489,,No
990005392080205516,No,,2881247091; 9782881247095,,No
990005392490205516,No,,289045309X; 9782890453098,,No
990005392640205516,No,,2890453103; 9782890453104,,No
990005392680205516,No,,,,No
990005393360205516,No,: part A,0121552012; 9780121552015,,No
990005393400205516,No,: part B,0121552020; 9780121552022,,No
990005393460205516,No,,,,No
990005397220205516,No,": principes, lois d'action de masse",2225423946; 9782225423949,,No
990005397280205516,No,": potentiel chimique, électrochimie, changements de phases",222562612X; 9782225626128,,No
990005397740205516,No,,,,No
990005398340205516,No,: [Cimabue to Agnolo Gaddi],,,No
990005398360205516,No,: [Berna to Michelozzo Michelozzi],,,No
990005398380205516,No,: [Filarete and Simone to Mantegna],,,No
990005398400205516,No,: [Filippino Lippi to Domenico Puligo],,,No
990005398420205516,No,: [Andrea da Fiesole to Lorenzo Lotto],,,No
990005398430205516,No,: [Fra Giocondo to Niccolo Soggi],,,No
990005398440205516,No,: [Tribolo to Il Sodoma],,,No
990005398480205516,No,: [Bastiano to Taddeo Zucchero],,,No
990005398490205516,No,: [Michelagnolo to the Flemings],,,No
990005398500205516,No,: [Bronzino to Vasari & general index],,,No
