Electronic Collection Public Name,MMS Id,Title,Portfolio Id,Electronic Collection Id
ASTM Manuals,99116725300505516,Elemental Analysis of Fossil Fuels and Related Materials,5334383860005516,6128470610005516
EZB-FREE-00999 freely available EZB journals,99116791301105516,Encuesta nacional agropecuaria,5343947980005516,6142815690005516
Wiley Online Library Database Model 2019,99116708538905516,The Scandinavian journal of economics.,5331123100005516,6128471620005516
IEEE Electronic Library (IEL),99116713501405516,2006 IET Seminar on Software for Medical devices : November 2006.,5332197480005516,6128473920005516
IEEE Electronic Library (IEL),99116701926905516,"Development and Learning, 2007. ICDL 2007. IEEE 6th International Conference on",5329676770005516,6128473920005516
EZB-FREE-00999 freely available EZB journals,99116790292605516,Vestnik Voronežskogo Gosudarstvennogo Universiteta periodičeskij naučnyj žurnal = Proceedings of Voronezh State University,5343625370005516,6142815690005516
EZB-FREE-00999 freely available EZB journals,99116718147605516,Sociétés et jeunesses en difficulté,5343544490005516,6142815690005516
PressReader,99116756684405516,Férias nos EUA,5338751050005516,6128470010005516
SpringerLink Lecture Notes In Computer Science 2014,99116704813505516,"Fun with Algorithms 7th International Conference, FUN 2014, Lipari Island, Sicily, Italy, July 1-3, 2014, Proceedings /",5330331160005516,6128470420005516
EZB-FREE-00999 freely available EZB journals,99116714867705516,Molecular cancer therapeutics.,5344896440005516,6142815690005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116749017405516,Room to learn : elementary classrooms designed for interactive explorations /,5337818500005516,6128471720005516
EZB-FREE-00999 freely available EZB journals,99116794359105516,Coolabah.,5344924480005516,6142815690005516
SpringerNature Complete Protocols,99116706848905516,Xenopus Methods and Protocols  /,5330740670005516,6128470480005516
IEEE Electronic Library (IEL),99116712188405516,"CIMA 2005 : 2005 ICSC Congress on Computational Intelligence Methods and Applications : Istanbul, Turkey, 15-17 December 2005",5331924080005516,6128473920005516
Springer Earth and Environmental Science eBooks 2016 English/International,99116707842205516,Geographic Interpretations of the Internet,5330953170005516,6128473310005516
IEEE Electronic Library (IEL) Conference Proceedings,99116707433905516,1999 International Conference on Computational Electromagnetics and its Applications proceedings : (ICCEA '99) /,5330870090005516,6128472830005516
Elsevier ScienceDirect Journals,99116707407305516,Journal of Reproductive Health and Medicine,5330885240005516,6128472720005516
IEEE Electronic Library (IEL) Conference Proceedings,99116698655505516,"2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",5329006930005516,6128472830005516
IEEE Xplore Morgan & Claypool Synthesis eBooks Library,99116708480805516,The paradigm shift to multimodality in contemporary computer interfaces /,5335748970005516,6135607560005516
EZB-FREE-00999 freely available EZB journals,99116790188405516,Türkei Information newsletter,5343638980005516,6142815690005516
SpringerLink Journals - AutoHoldings,99116701719605516,Cellular oncology (Dordrecht).,5329646340005516,6128470180005516
EZB-FREE-00999 freely available EZB journals,99116794447805516,Indicios.,5344958600005516,6142815690005516
Taylor & Francis Social Science & Humanities with Science & Technology,99116720626805516,Journal of wood chemistry and technology,5333737420005516,6128471590005516
EZB-FREE-00999 freely available EZB journals,99116790328105516,Annual law review / University of Western Australia,5343606020005516,6142815690005516
ACM Digital Library Complete,99116707672905516,Proceedings of the 4th ACM International Workshop on Data Warehousing and OLAP,5330956380005516,6128471210005516
JoVE Journal: Medicine,99116696298505516,Investigating von Willebrand Factor Pathophysiology Using a Flow Chamber Model of von Willebrand Factor-platelet String Formation,5328488700005516,6128470730005516
SPIE Digital Library Proceedings,99116701268905516,"Optics and Measurement International Conference 2016 : 11-14 October 2016, Liberec, Czech Republic /",5329568730005516,6128471540005516
